file | control sysdm.cpl | 系统属性
file | control Access.cpl | 辅助功能选项
file | control Appwiz.cpl | 添加删除程序 程序和功能
file | control Desk.cpl | 显示
file | control Fax.cpl | 传真向导
file | control Hdwwiz.cpl | 添加删除硬件
file | control Intl.cpl | 区域语言选项
file | control Joy.cpl | 游戏控制器
file | control Liccpa.cpl | 许可
file | control Main.cpl | 鼠标
file | control Mmsys.cpl | 声音和音频设备
file | control Modem.cpl | 电话和调制解调器选项
file | control Ncpa.cpl | 网络连接
file | control Netcpl.cpl | 网络和拨号连接
file | control Nwc.cpl | Netware客户端连接
file | control Odbccp32.cpl | ODBC数据源
file | control Powercfg.cpl | 电源管理
file | control Sticpl.cpl | 扫描仪和照相机
file | control Sysdm.cpl | 系统
file | control Telephon.cpl | 拨号规则和调制解调器
file | control Timedate.cpl | 日期和时间
file | rundll32.exe shell32.dll,Control_RunDLL appwiz.cpl,,2 | 启用或关闭Windows功能
file | rundll32.exe shell32.dll,Control_RunDLL desk.cpl,,0 | 桌面图标
file | rundll32.exe shell32.dll,Control_RunDLL desk.cpl,,1 | 屏幕保护
file | rundll32.exe shell32.dll,Control_RunDLL desk.cpl,,2 | 外观和个性化
file | rundll32.exe shell32.dll,Control_RunDLL desk.cpl,,3 | 系统设置
file | rundll32.exe shell32.dll,Control_RunDLL main.cpl @1 | 键盘
file | devmgmt.msc | 设备管理器
file | eventvwr.msc | 事件查看器
file | compmgmt.msc | 计算机管理
file | taskmgr.exe | 任务管理器
